id,solid,oneway,water,ladder,star_block,slope,gx,gy
0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
2,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,3,0
4,1,0,0,0,0,0,4,0
5,1,0,0,0,0,0,5,0
6,1,0,0,0,0,0,6,0
7,1,0,0,0,0,0,7,0
8,1,0,0,0,0,0,8,0
9,1,0,0,0,0,0,9,0
10,1,0,0,0,0,0,10,0
11,1,0,0,0,0,0,11,0
12,1,0,0,0,0,0,12,0
13,1,0,0,0,0,0,13,0
14,1,0,0,0,0,0,14,0
15,1,0,0,0,0,0,15,0
16,1,0,0,0,0,0,0,1
17,1,0,0,0,0,0,1,1
18,1,0,0,0,0,0,2,1
19,1,0,0,0,0,0,3,1
20,1,0,0,0,0,0,4,1
21,1,0,0,0,0,0,5,1
22,1,0,0,0,0,0,6,1
23,1,0,0,0,0,0,7,1
24,1,0,0,0,0,0,8,1
25,1,0,0,0,0,0,9,1
26,1,0,0,0,0,0,10,1
27,1,0,0,0,0,0,11,1
28,1,0,0,0,0,0,12,1
29,0,0,0,0,0,0,13,1
30,0,0,0,0,0,0,14,1
31,0,0,0,0,0,0,15,1
