id,solid,oneway,water,ladder,star_block,slope,gx,gy
0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
2,1,0,0,0,0,0,2,0
3,0,0,0,0,0,0,3,0
4,1,0,0,0,0,0,4,0
5,1,0,0,0,0,0,5,0
6,1,0,0,0,0,0,6,0
7,1,0,0,0,0,0,7,0
8,1,0,0,0,0,0,8,0
9,1,0,0,0,0,0,9,0
10,1,0,0,0,0,0,10,0
11,1,0,0,0,0,0,11,0
12,1,0,0,0,0,0,12,0
13,1,0,0,0,0,0,13,0
14,1,0,0,0,0,0,14,0
15,1,0,0,0,0,0,15,0
16,1,0,0,0,0,0,0,1
17,1,0,0,0,0,0,1,1
18,1,0,0,0,0,0,2,1
19,1,0,0,0,0,0,3,1
20,1,0,0,0,0,0,4,1
21,1,0,0,0,0,0,5,1
22,1,0,0,0,0,0,6,1
23,1,0,0,0,0,0,7,1
24,1,0,0,0,0,0,8,1
25,1,0,0,0,0,0,9,1
26,1,0,0,0,0,0,10,1
27,1,0,0,0,0,0,11,1
28,1,0,0,0,0,0,12,1
29,1,0,0,0,0,0,13,1
30,1,0,0,0,0,0,14,1
31,1,0,0,0,0,0,15,1
32,1,0,0,0,0,0,0,2
33,1,0,0,0,0,0,1,2
34,1,0,0,0,0,0,2,2
35,1,0,0,0,0,0,3,2
36,1,0,0,0,0,0,4,2
37,1,0,0,0,0,0,5,2
38,1,0,0,0,0,0,6,2
39,1,0,0,0,0,0,7,2
40,1,0,0,0,0,0,8,2
41,1,0,0,0,0,0,9,2
42,1,0,0,0,0,0,10,2
43,1,0,0,0,0,0,11,2
44,1,0,0,0,0,0,12,2
45,1,0,0,0,0,0,13,2
46,1,0,0,0,0,0,14,2
47,1,0,0,0,0,0,15,2
48,1,0,0,0,0,0,0,3
49,1,0,0,0,0,0,1,3
50,1,0,0,0,0,0,2,3
51,1,0,0,0,0,0,3,3
52,1,0,0,0,0,0,4,3
53,1,0,0,0,0,0,5,3
54,1,0,0,0,0,0,6,3
55,1,0,0,0,0,0,7,3
56,1,0,0,0,0,0,8,3
57,1,0,0,0,0,0,9,3
58,1,0,0,0,0,0,10,3
59,1,0,0,0,0,0,11,3
60,1,0,0,0,0,0,12,3
61,1,0,0,0,0,0,13,3
62,1,0,0,0,0,0,14,3
63,1,0,0,0,0,0,15,3
64,1,0,0,0,0,0,0,4
65,0,0,0,0,0,0,1,4
66,1,0,0,0,0,0,2,4
67,1,0,0,0,0,0,3,4
68,1,0,0,0,0,0,4,4
69,0,0,0,0,0,0,5,4
70,1,0,0,0,0,0,6,4
71,1,0,0,0,0,0,7,4
72,1,0,0,0,0,0,8,4
73,1,0,0,0,0,0,9,4
74,1,0,0,0,0,0,10,4
75,1,0,0,0,0,0,11,4
76,1,0,0,0,0,0,12,4
77,1,0,0,0,0,0,13,4
78,1,0,0,0,0,0,14,4
79,1,0,0,0,0,0,15,4
80,1,0,0,0,0,0,0,5
81,1,0,0,0,0,0,1,5
82,1,0,0,0,0,0,2,5
83,1,0,0,0,0,0,3,5
84,1,0,0,0,0,0,4,5
85,1,0,0,0,0,0,5,5
86,1,0,0,0,0,0,6,5
87,1,0,0,0,0,0,7,5
88,1,0,0,0,0,0,8,5
89,1,0,0,0,0,0,9,5
90,1,0,0,0,0,0,10,5
91,1,0,0,0,0,0,11,5
92,0,0,0,0,0,2,12,5
93,1,0,0,0,0,0,13,5
94,1,0,0,0,0,0,14,5
95,1,0,0,0,0,0,15,5
96,1,0,0,0,0,0,0,6
97,1,0,0,0,0,0,1,6
98,1,0,0,0,0,0,2,6
99,1,0,0,0,0,0,3,6
100,1,0,0,0,0,0,4,6
101,1,0,0,0,0,0,5,6
102,1,0,0,0,0,0,6,6
103,1,0,0,0,0,0,7,6
104,1,0,0,0,0,0,8,6
105,1,0,0,0,0,0,9,6
106,1,0,0,0,0,0,10,6
107,1,0,0,0,0,0,11,6
108,1,0,0,0,0,0,12,6
109,1,0,0,0,0,0,13,6
110,1,0,0,0,0,0,14,6
111,1,0,0,0,0,0,15,6
112,1,0,0,0,0,0,0,7
113,1,0,0,0,0,0,1,7
114,1,0,0,0,0,0,2,7
115,1,0,0,0,0,0,3,7
116,1,0,0,0,0,0,4,7
117,1,0,0,0,0,0,5,7
118,1,0,0,0,0,0,6,7
119,1,0,0,0,0,0,7,7
120,0,0,1,0,0,0,8,7
121,0,0,1,0,0,0,9,7
122,1,0,0,0,0,0,10,7
123,1,0,0,0,0,0,11,7
124,1,0,0,0,0,0,12,7
125,1,0,0,0,0,0,13,7
126,1,0,0,0,0,0,14,7
127,1,0,0,0,0,0,15,7
128,0,1,0,0,0,0,0,8
129,1,0,0,0,0,0,1,8
130,1,0,0,0,0,0,2,8
131,1,0,0,0,0,0,3,8
132,1,0,0,0,0,0,4,8
133,1,0,0,0,0,0,5,8
134,1,0,0,0,0,0,6,8
135,1,0,0,0,0,0,7,8
136,1,0,0,0,0,0,8,8
137,1,0,0,0,0,0,9,8
138,1,0,0,0,0,0,10,8
139,1,0,0,0,0,0,11,8
140,1,0,0,0,0,0,12,8
141,1,0,0,0,0,0,13,8
142,1,0,0,0,0,0,14,8
143,1,0,0,0,0,0,15,8
144,1,0,0,0,0,0,0,9
145,1,0,0,0,0,0,1,9
146,1,0,0,0,0,0,2,9
147,1,0,0,0,0,0,3,9
148,1,0,0,0,0,0,4,9
149,1,0,0,0,0,0,5,9
150,1,0,0,0,0,0,6,9
151,1,0,0,0,0,0,7,9
152,1,0,0,0,0,0,8,9
153,1,0,0,0,0,0,9,9
154,1,0,0,0,0,0,10,9
155,1,0,0,0,0,0,11,9
156,1,0,0,0,0,0,12,9
157,1,0,0,0,0,0,13,9
158,1,0,0,0,0,0,14,9
159,1,0,0,0,0,0,15,9
160,1,0,0,0,0,0,0,10
161,1,0,0,0,0,0,1,10
162,1,0,0,0,0,0,2,10
163,1,0,0,0,0,0,3,10
164,1,0,0,0,0,0,4,10
165,1,0,0,0,0,0,5,10
166,1,0,0,0,0,0,6,10
167,0,0,0,0,0,4,7,10
168,0,0,0,0,0,4,8,10
169,1,0,0,0,0,0,9,10
170,1,0,0,0,0,0,10,10
171,1,0,0,0,0,0,11,10
172,1,0,0,0,0,0,12,10
173,1,0,0,0,0,0,13,10
174,1,0,0,0,0,0,14,10
175,1,0,0,0,0,0,15,10
176,1,0,0,0,0,0,0,11
177,1,0,0,0,0,0,1,11
178,1,0,0,0,0,0,2,11
179,1,0,0,0,0,0,3,11
180,1,0,0,0,0,0,4,11
181,1,0,0,0,0,0,5,11
182,1,0,0,0,0,0,6,11
183,1,0,0,0,0,0,7,11
184,1,0,0,0,0,0,8,11
185,1,0,0,0,0,0,9,11
186,1,0,0,0,0,0,10,11
187,1,0,0,0,0,0,11,11
188,1,0,0,0,0,0,12,11
189,1,0,0,0,0,0,13,11
190,1,0,0,0,0,0,14,11
191,1,0,0,0,0,0,15,11
192,1,0,0,0,0,0,0,12
193,1,0,0,0,0,0,1,12
194,1,0,0,0,0,0,2,12
195,1,0,0,0,0,0,3,12
196,1,0,0,0,0,0,4,12
197,1,0,0,0,0,0,5,12
198,1,0,0,0,0,0,6,12
199,1,0,0,0,0,0,7,12
200,0,0,0,0,1,0,8,12
201,1,0,0,0,0,0,9,12
202,1,0,0,0,0,0,10,12
